Subject,Phase,State,Choice,Reward,Stay,Trial,Task,k,t
13,reversal,high,1,1,1,21,1,21,87
13,reversal,low,0,0,1,22,1,22,89
13,reversal,high,1,1,1,22,1,22,91
13,reversal,low,1,1,0,23,1,23,93
13,reversal,high,1,1,1,23,1,23,95
13,reversal,high,1,1,1,24,1,24,97
13,reversal,low,0,0,0,24,1,24,99
13,reversal,low,1,0,0,25,1,25,101
13,reversal,low,0,0,0,26,1,26,103
13,reversal,high,1,1,1,25,1,25,105
13,reversal,high,1,1,1,26,1,26,107
13,reversal,high,1,0,1,27,1,27,109
13,reversal,low,0,0,1,27,1,27,111
13,reversal,low,0,0,1,28,1,28,113
13,reversal,high,1,1,1,28,1,28,115
13,reversal,low,0,1,1,29,1,29,117
13,reversal,high,1,1,1,29,1,29,119
14,learn,low,1,1,-1,0,1,0,1
14,learn,low,1,1,1,1,1,1,3
14,learn,low,1,1,1,2,1,2,5
14,learn,high,1,1,-1,0,1,0,7
14,learn,low,1,0,1,3,1,3,9
14,learn,high,1,0,1,1,1,1,11
14,learn,high,1,1,1,2,1,2,13
14,learn,high,1,1,1,3,1,3,15
14,learn,high,1,1,1,4,1,4,17
14,learn,low,0,0,0,4,1,4,19
14,learn,low,0,0,1,5,1,5,21
14,learn,high,1,1,1,5,1,5,23
14,learn,low,1,1,0,6,1,6,25
14,learn,low,1,1,1,7,1,7,27
14,learn,high,1,1,1,6,1,6,29
14,learn,high,1,0,1,7,1,7,31
14,learn,high,1,1,1,8,1,8,33
14,learn,low,1,1,1,8,1,8,35
14,learn,high,1,1,1,9,1,9,37
14,learn,low,1,0,1,9,1,9,39
14,learn,high,1,1,1,10,1,10,41
14,learn,high,0,0,0,11,1,11,43
14,learn,low,1,1,1,10,1,10,45
14,learn,low,1,1,1,11,1,11,47
14,learn,high,1,1,0,12,1,12,49
14,learn,low,1,1,1,12,1,12,51
14,learn,high,1,0,1,13,1,13,53
14,learn,low,1,1,1,13,1,13,55
14,learn,high,0,0,0,14,1,14,57
14,learn,low,0,0,0,14,1,14,59
14,reversal,high,0,0,-1,15,1,15,61
14,reversal,low,1,1,-1,15,1,15,63
14,reversal,low,0,0,0,16,1,16,65
14,reversal,high,1,0,0,16,1,16,67
14,reversal,high,1,1,1,17,1,17,69
14,reversal,low,0,0,1,17,1,17,71
14,reversal,low,1,0,0,18,1,18,73
14,reversal,high,0,0,0,18,1,18,75
14,reversal,low,1,1,1,19,1,19,77
14,reversal,high,1,1,0,19,1,19,79
14,reversal,low,1,1,1,20,1,20,81
14,reversal,low,0,0,0,21,1,21,83
14,reversal,low,0,0,1,22,1,22,85
14,reversal,low,0,0,1,23,1,23,87
14,reversal,high,0,1,0,20,1,20,89
14,reversal,high,1,1,0,21,1,21,91
14,reversal,high,1,0,1,22,1,22,93
14,reversal,high,1,1,1,23,1,23,95
14,reversal,low,0,0,1,24,1,24,97
14,reversal,high,1,1,1,24,1,24,99
14,reversal,high,1,1,1,25,1,25,101
14,reversal,low,0,0,1,25,1,25,103
14,reversal,high,1,1,1,26,1,26,105
14,reversal,high,1,0,1,27,1,27,107
14,reversal,low,1,1,0,26,1,26,109
14,reversal,low,0,1,0,27,1,27,111
14,reversal,high,1,1,1,28,1,28,113
14,reversal,high,1,1,1,29,1,29,115
14,reversal,low,1,1,0,28,1,28,117
14,reversal,low,1,0,1,29,1,29,119
15,learn,low,0,1,-1,0,1,0,1
15,learn,high,1,1,-1,0,1,0,3
15,learn,high,1,1,1,1,1,1,5
15,learn,high,1,1,1,2,1,2,7
15,learn,low,0,0,1,1,1,1,9
15,learn,high,0,0,0,3,1,3,11
15,learn,low,1,1,0,2,1,2,13
15,learn,high,0,1,1,4,1,4,15
15,learn,low,0,0,0,3,1,3,17
15,learn,low,0,0,1,4,1,4,19
15,learn,high,0,1,1,5,1,5,21
15,learn,low,0,1,1,5,1,5,23
15,learn,high,0,0,1,6,1,6,25
15,learn,high,0,0,1,7,1,7,27
15,learn,low,1,0,0,6,1,6,29
15,learn,high,0,0,1,8,1,8,31
15,learn,low,0,0,0,7,1,7,33
15,learn,low,1,1,0,8,1,8,35
15,learn,high,0,0,1,9,1,9,37
15,learn,low,1,1,1,9,1,9,39
15,learn,high,0,0,1,10,1,10,41
15,learn,low,1,1,1,10,1,10,43
15,learn,high,0,0,1,11,1,11,45
15,learn,low,1,0,1,11,1,11,47
15,learn,high,0,0,1,12,1,12,49
15,learn,low,1,1,1,12,1,12,51
15,learn,low,0,0,0,13,1,13,53
15,learn,high,0,0,1,13,1,13,55
15,learn,high,0,1,1,14,1,14,57
15,learn,low,1,1,0,14,1,14,59
15,reversal,low,0,0,-1,15,1,15,61
15,reversal,low,1,1,0,16,1,16,63
15,reversal,high,1,1,-1,15,1,15,65
15,reversal,low,1,1,1,17,1,17,67
15,reversal,low,1,0,1,18,1,18,69
15,reversal,high,1,1,1,16,1,16,71
15,reversal,low,1,1,1,19,1,19,73
15,reversal,high,1,1,1,17,1,17,75
15,reversal,high,1,1,1,18,1,18,77
15,reversal,high,1,0,1,19,1,19,79
15,reversal,low,1,1,1,20,1,20,81
15,reversal,high,1,1,1,20,1,20,83
15,reversal,high,1,1,1,21,1,21,85
15,reversal,low,0,0,0,21,1,21,87
15,reversal,low,0,0,1,22,1,22,89
15,reversal,high,1,1,1,22,1,22,91
15,reversal,low,0,0,1,23,1,23,93
15,reversal,high,1,0,1,23,1,23,95
15,reversal,high,1,1,1,24,1,24,97
15,reversal,low,0,0,1,24,1,24,99
15,reversal,low,0,0,1,25,1,25,101
15,reversal,high,1,1,1,25,1,25,103
15,reversal,low,0,0,1,26,1,26,105
15,reversal,high,1,1,1,26,1,26,107
15,reversal,low,1,1,0,27,1,27,109
15,reversal,high,1,1,1,27,1,27,111
15,reversal,low,0,0,0,28,1,28,113
15,reversal,high,1,0,1,28,1,28,115
15,reversal,low,1,1,0,29,1,29,117
15,reversal,high,1,1,1,29,1,29,119
16,learn,high,0,0,-1,0,1,0,1
16,learn,low,1,1,-1,0,1,0,3
16,learn,high,0,0,1,1,1,1,5
16,learn,low,0,0,0,1,1,1,7
16,learn,low,1,1,0,2,1,2,9
16,learn,low,1,0,1,3,1,3,11
16,learn,high,0,0,1,2,1,2,13
16,learn,high,1,1,0,3,1,3,15
16,learn,high,0,0,0,4,1,4,17
16,learn,low,1,1,1,4,1,4,19
16,learn,high,0,0,1,5,1,5,21
16,learn,low,0,0,0,5,1,5,23
16,learn,low,1,0,0,6,1,6,25
16,learn,high,0,0,1,6,1,6,27
16,learn,high,0,1,1,7,1,7,29
16,learn,low,1,1,1,7,1,7,31
16,learn,low,0,0,0,8,1,8,33
16,learn,low,0,0,1,9,1,9,35
16,learn,high,1,1,0,8,1,8,37
16,learn,high,0,0,0,9,1,9,39
16,learn,low,1,1,0,10,1,10,41
16,learn,high,0,0,1,10,1,10,43
16,learn,low,1,1,1,11,1,11,45
16,learn,low,1,0,1,12,1,12,47
16,learn,high,1,1,0,11,1,11,49
16,learn,low,1,1,1,13,1,13,51
16,learn,high,1,0,1,12,1,12,53
16,learn,high,0,0,0,13,1,13,55
16,learn,low,1,1,1,14,1,14,57
